fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1968,1968,Capital Expenditure,,69.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.9228,3.748,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Capital Expenditure,,82.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.0931,4.2924,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Capital Expenditure,,96.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.2752,4.9219,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Capital Expenditure,,115.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.5195,5.6327,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Capital Expenditure,,142.4,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,1.8799,6.5479,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Capital Expenditure,,179.8,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,2.6101,7.5224,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Deficit,,2.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0264,0.1165,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Deficit,,7.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0937,0.4119,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Deficit,,10.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1347,0.5695,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Deficit,,9.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1241,0.5142,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
