fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1969,1969,Total Revenues,Non-Oil,74.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.9769,3.8362,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Total Revenues,Non-Oil,87.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.1604,4.4787,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Total Revenues,Non-Oil,102.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.3558,5.0258,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Total Revenues,Non-Oil,123.1,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,1.6251,5.6605,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Total Revenues,Non-Oil,135.7,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,1.9699,5.6774,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Current Expenditure,,41.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.5479,2.4172,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Current Expenditure,,47.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6231,2.7384,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Current Expenditure,,52.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6891,2.9147,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Current Expenditure,,63.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.8409,3.4847,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Current Expenditure,,70.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.9307,3.871,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Current Expenditure,,82.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.0838,4.4341,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Current Expenditure,,98.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.3043,5.2975,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Current Expenditure,,114.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.5102,5.9306,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Current Expenditure,,135.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.7848,6.8887,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Current Expenditure,,176.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,2.3327,8.6472,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Current Expenditure,,218.3,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,2.8818,10.038,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Current Expenditure,,290.9,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,4.2229,12.1706,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Savings,,11.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1505,0.664,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Savings,,11.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1518,0.6672,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Savings,,16.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2178,0.9213,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Savings,,27.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3657,1.5153,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Savings,,25.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3393,1.4111,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Savings,,28.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3696,1.5122,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Savings,,30.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.404,1.6407,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Savings,,36.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4752,1.8663,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Savings,,38.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.5043,1.9464,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Savings,,81.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.0772,3.9933,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Savings,,83.5,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,1.1023,3.8396,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Savings,,70.7,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,1.0263,2.9579,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Capital Expenditure,,13.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1769,0.7805,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Capital Expenditure,,18.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2455,1.0791,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Capital Expenditure,,26.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3525,1.4908,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Capital Expenditure,,37.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4898,2.0296,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Capital Expenditure,,37.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.499,2.0755,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Capital Expenditure,,53.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.705,2.8841,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
