REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
USA,WEF_GCIHH_EOSQ353,2007,11,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2017,5.16,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2017,45,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2016,5.01,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2016,60,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2015,4.88,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2015,60,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2014,4.71,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2014,67,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2013,4.75,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2013,73,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2012,4.86,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2012,72,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2011,4.87,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2011,75,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2010,4.95,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2010,77,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2009,5.04,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2009,67,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2008,4.89,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2008,73,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2007,4.74,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_05,2007,72,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2017,5.85,IX,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI,2017,2,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI,2016,5.7,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2016,3,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2015,5.61,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2015,3,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2014,5.54,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2014,3,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2013,5.48,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2013,5,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2012,5.47,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2012,7,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2011,5.43,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2011,5,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2010,5.43,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2010,4,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2009,5.59,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2009,2,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2008,5.74,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2008,1,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2007,5.67,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI,2007,1,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2017,5.08,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2017,23,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2016,4.68,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2016,30,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2015,4.46,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2015,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2014,4.32,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2014,34,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2013,4.3,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2013,37,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2012,4.17,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2012,41,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2011,4.24,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2011,40,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2010,4.31,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2010,41,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2009,4.21,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2009,35,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2008,4.3,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2008,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2007,4.12,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_02,2007,34,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2017,5.76,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2017,20,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2016,5.69,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2016,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2015,5.62,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2015,20,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2014,5.37,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2014,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2013,5.17,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2013,29,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2012,4.98,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2012,36,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2011,5.05,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2011,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2010,5.1,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2010,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2009,5.5,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
