country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
SAU,Saudi Arabia,2004,88522165771.3306,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2005,144248243499.7273,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2006,162820256741.6145,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2007,180444698402.6276,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2008,216811774030.1628,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2009,114172832044.3175,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2010,176366135348.1219,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2011,240018160780.2974,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2012,240712127881.0443,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2013,200972932345.9828,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
